region,model,MEC,MAC,SSA,AE,lifetime_BC_OA,precip,emi_BC_OA,abs550aer
west_russia,ECHAM6-SALSA_CTRL2016-PD,4.1121014789831465,,,,7.102216370930057,0.9380399278292245,1.6254368167450108e-10,
west_russia,ECHAM6.3-HAM2.3-met2010_AP3-CTRL,6.342823940955002,1.146093949972433,0.922791709490832,1.3437521804972583,2.563299830834983,0.9675506795012659,4.047929227510204e-11,0.007650703572499229
west_russia,ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,6.314021392155194,1.791646941634669,0.8819388125610059,1.290600404403222,3.0643005057500727,0.43576500139575747,4.120496030039859e-11,0.015659782207223118
west_russia,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,4.314273722696884,,,,2.880863683781361,1.19790357028447,9.365632424482838e-11,
west_russia,GEOS-i33p2-met2010_AP3-CTRL,9.845784481776498,0.7002203326990091,0.9597250303607306,1.3407713165065744,2.6398059450332183,1.7009242062147636,5.20603001737405e-11,0.006958222180990676
west_russia,GFDL-AM4-met2010_AP3-CTRL,10.419033996035758,1.5633359502044084,0.9312064629507106,0.8443661922540324,,1.4457690022833918,2.165629687720586e-12,0.014295952202132818
west_russia,GISS-ModelE2p1p1-MATRIX_AP3-CTRL-2010,17.27286367833212,3.927305685628486,0.904293803959706,1.1899848923342295,2.8207937352539467,1.4520295367500433,3.4405593419504075e-11,0.026642618494179274
west_russia,GISS-ModelE2p1p1-OMA_AP3-CTRL-2010,22.724366907247518,1.2689269922121151,0.9624404058658838,0.29940918111807185,2.555718446758453,1.5212511154031536,5.521282985119585e-11,0.011462228815696534
west_russia,INCA_AP3-CTRL,3.1747200123475166,1.520469820677382,0.9581544957492205,0.3428819315283369,2.1571162772383126,1.2021863927169254,3.7282237593347864e-11,0.0072373395861864125
west_russia,MIROC-SPRINTARS_AP3-CTRL,3.893466186818134,0.6596366326508881,0.9726662566399752,0.8135489825115176,2.244467706091978,1.4571240251528517,7.278722274747505e-11,0.006632814331382889
