region,model,SSA,1-SSA,MAC,AE,lifetime,inv_lifetime,precip
indonesia_peatland,CAM5.3-Oslo_AP3-CTRL2016-PD,0.9520411439653527,0.047958856034647335,1.8912886068255585,0.9900802185837785,6.715375915067396,0.14891199132371488,2.169124618941825
indonesia_peatland,CAM5_CTRL2016,0.9179652333003407,0.08203476669965926,7.737389188504518,2.002648220085828,8.753079807212474,0.11424550238602957,2.0820852037016007
indonesia_peatland,ECHAM6-SALSA_CTRL2016-PD,0.900118162030602,0.09988183796939798,1.9138141571259233,1.4653682683157523,5.534109981918312,0.18069752919029733,2.049655727974415
indonesia_peatland,ECHAM6.3-HAM2.3-met2010_AP3-CTRL,0.9285893546162192,0.07141064538378084,1.6724350731594049,1.1791592708428442,4.143514208859311,0.24134103314087466,2.122988439002544
indonesia_peatland,ECHAM6.3-SALSA2.0-met2010_AP3-CTRL,0.8811810440519738,0.11881895594802616,2.4670471095079125,1.2496419986166687,4.896705735320325,0.20421892881716805,0.9589311756990802
indonesia_peatland,ECMWF-IFS-CY42R1-CAMS-RA-CTRL_AP3-CTRL2016-PD,0.9287975945312315,0.07120240546876855,1.6010347016112314,0.9570732049163732,2.8720166778283764,0.3481873931025122,1.792449670170997
indonesia_peatland,GEOS-i33p2-met2010_AP3-CTRL,0.9621332937982391,0.037866706201760914,1.0897967238380422,1.2026228479122878,4.410365071867391,0.22673859957279918,2.5320476733819848
indonesia_peatland,GISS-ModelE2p1p1-OMA_AP3-CTRL,0.9687252569447394,0.03127474305526057,1.7616715532350529,0.25103227411968715,3.664811659559387,0.2728653183013034,2.423764245021707
indonesia_peatland,INCA_AP3-CTRL,0.9606063562376517,0.03939364376234833,2.4604915195575794,0.6445245148543267,3.9849165255843237,0.2509462854691457,2.450819725436442
indonesia_peatland,MIROC-SPRINTARS_AP3-CTRL,0.9762295656989883,0.023770434301011667,1.556230739691377,1.0826951553575497,3.035181972269034,0.32946953729183576,3.1284998969992053
indonesia_peatland,NorESM2-met2010_AP3-CTRL,0.941041123074323,0.05895887692567703,0.9150645086131081,1.0687763629695428,7.8903987300671234,0.1267363075315071,2.2499971450427503
indonesia_peatland,SPRINTARS-T213_AP3-CTRL2016-PD,0.9670385995932316,0.032961400406768426,1.3062931382282197,0.5868568071030419,7.494406418741835,0.13343284899778368,1.123911686392837
indonesia_peatland,TM5_AP3-CTRL2016,0.934852736555715,0.06514726344428501,1.2652416610689012,1.499245246495236,4.746921666313197,0.21066284010889785,2.363243034062201
